author,updated_at,like_count,text,video_id,cleaned_text,sentiment,sentiment_score,keywords,entities,topic
@JusnitaSoamole,2026-06-29T12:16:16Z,1,🇦🇷🇯🇴,M6mpXtMm93M,,neutral,0.0,[],[],0
@JusnitaSoamole,2026-06-29T12:16:05Z,0,🇦🇷❤️,M6mpXtMm93M,,neutral,0.0,[],[],0
@nssir56,2026-06-29T12:14:56Z,0,messi 3 games and 6 goals amazing magic messi,M6mpXtMm93M,messi 3 games and 6 goals amazing magic messi,positive,0.5859,"['magic messi', 'messi games', 'messi']","[('messi', 'PERSON'), ('magic messi', 'PERSON')]",3
@HarlemsArmy,2026-06-29T12:14:31Z,16,0:14 tf he just say?,M6mpXtMm93M,0 14 tf he just say,neutral,0.0,"['14 tf', 'tf', '14']",[],49
@MinkKhant,2026-06-29T12:14:18Z,0,Goat🎉🎉🎉❤❤❤❤👍👍👍👍👍👏👏👏👏,M6mpXtMm93M,goat,neutral,0.0,[],[],21
@vighneshsingral2144,2026-06-29T12:13:10Z,1,"Very well done, appreciate this video!",M6mpXtMm93M,very well done appreciate this video,positive,0.6549,"['appreciate video', 'appreciate', 'video']",[],-1
@umashankarkumar4071,2026-06-29T12:12:54Z,0,Why the first goal was not given by refree ??,M6mpXtMm93M,why the first goal was not given by refree,neutral,0.0,"['given refree', 'refree', 'goal given']",[],-1
@kushalmukhopadhyay4511,2026-06-29T12:07:29Z,0,Why didn't the goalkeeper stop the 3rd goal of Argentina???(It looked like he intentionally let it through),M6mpXtMm93M,why didn t the goalkeeper stop the 3rd goal of argentina it looked like he intentionally let it through,positive,0.0772,"['goalkeeper stop', 'goal argentina', 'argentina looked']","[('argentina', 'GPE')]",32
@Paldup27Paldup,2026-06-29T11:58:23Z,0,Wat kind of keeper is it???,M6mpXtMm93M,what kind of keeper is it,neutral,0.0,"['keeper', 'kind keeper', 'kind']",[],32
@josephjacky1256,2026-06-29T11:56:48Z,0,Messi messi,M6mpXtMm93M,messi messi,neutral,0.0,"['messi messi', 'messi']","[('messi messi', 'PERSON')]",3
@Paldup27Paldup,2026-06-29T11:55:51Z,0,"Had messi played in the match for the start, i believe, infact m quiet sure he would have scored a hatrick",M6mpXtMm93M,had messi played in the match for the start i believe infact am quiet sure he would have scored a hatrick,positive,0.5719,"['messi played', 'scored hatrick', 'messi']","[('messi', 'PERSON')]",15
@ImanShrestha-l3e,2026-06-29T11:55:47Z,2,Ronaldo is the goat.  🇵🇹🐐🇵🇹🇵🇹🇵🇹🐐🐐🐐🏅 2:10 😮.              I am Ronaldo fan 🇵🇹 🥉🤑🇵🇹🏆,M6mpXtMm93M,ronaldo is the goat 2 10 i am ronaldo fan,positive,0.3182,"['ronaldo goat', '10 ronaldo', 'ronaldo fan']","[('ronaldo', 'ORG'), ('ronaldo', 'PERSON')]",40
@marcelodasilvamg6880,2026-06-29T11:55:01Z,0,Belo gol da Argentina 🇦🇷,M6mpXtMm93M,belo giggle out loud the argentina,positive,0.4215,"['loud argentina', 'belo giggle', 'belo']","[('belo giggle', 'PERSON')]",53
@SwaritSharma-ts3fd,2026-06-29T11:54:36Z,14,Goalkeeper didn't even put his hand for messi kick he is like he's messi let him,M6mpXtMm93M,goalkeeper didn t even put his hand for messi kick he is like he s messi let him,positive,0.6908,"['messi kick', 'hand messi', 'messi let']","[('messi kick', 'PERSON')]",65
@AmitKumar-q9j5d,2026-06-29T11:53:37Z,8,Messi is a Real GOAT 🐐🐐  ⚽⚽,M6mpXtMm93M,messi is a real goat,neutral,0.0,"['messi real', 'messi', 'real goat']","[('messi', 'PERSON')]",52
@danielj9228,2026-06-29T11:53:15Z,0,Argentina jugando contra selecciones de tercera hasta semifinales,M6mpXtMm93M,argentina jugando contra selecciones de tercera hasta semifinales,neutral,0.0,"['argentina jugando', 'jugando contra', 'hasta semifinales']","[('argentina', 'GPE')]",-1
@tanmaybahuguna9853,2026-06-29T11:48:21Z,1,1:33 He comes he score 🤌🏽💎,M6mpXtMm93M,1 33 he comes he score,neutral,0.0,"['33 comes', 'comes score', 'score']",[],-1
@dipankargain2982,2026-06-29T11:39:14Z,0,Brazil,M6mpXtMm93M,brazil,neutral,0.0,[],"[('brazil', 'GPE')]",53
@GlobalSourcingChina-1,2026-06-29T11:34:47Z,0,Goat 🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐🐐,M6mpXtMm93M,goat,neutral,0.0,[],[],21
@opgamer-king,2026-06-29T11:34:05Z,1,Messi,M6mpXtMm93M,messi,neutral,0.0,[],"[('messi', 'PERSON')]",3
@olympus2OM,2026-06-29T11:33:03Z,0,The goal of Messi was a joke. This ball was easy to save. A catastrophic positioning error of the goalie.,M6mpXtMm93M,the goal of messi was a joke this ball was easy to save a catastrophic positioning error of the goalie,positive,0.34,"['goal messi', 'messi joke', 'error goalie']","[('messi', 'PERSON')]",65
@BahaK-s1g,2026-06-29T11:20:57Z,0,Пенальти??,M6mpXtMm93M,пенальти,neutral,0.0,[],[],2
@alicanakguney,2026-06-29T11:20:09Z,0,arab goalkepar,M6mpXtMm93M,arab goalkepar,neutral,0.0,"['arab goalkepar', 'goalkepar', 'arab']",[],57
@footbolworld-y6j,2026-06-29T11:14:00Z,8,Messi is the greatest of all time (goat)💯💯,M6mpXtMm93M,messi is the greatest of all time goat,positive,0.6369,"['messi greatest', 'messi', 'greatest']","[('messi', 'PERSON')]",52
@subhampoddar3160,2026-06-29T11:11:48Z,1,💙💙💙💙,M6mpXtMm93M,,neutral,0.0,[],[],0
@Miliosreborn,2026-06-29T11:10:30Z,0,Ankara Messi!,M6mpXtMm93M,ankara messi,neutral,0.0,"['ankara messi', 'ankara', 'messi']","[('ankara messi', 'PERSON')]",20
@JDRE1S,2026-06-29T11:09:19Z,0,"Best ever World Cup group stage for Argentina, 3 wins, 8 goals scored and 1 goal conceded. Better than 1998 because it's the same goal difference (+7) but then it was 7-0, now it was 8-1.",M6mpXtMm93M,best ever world cup group stage for argentina 3 wins 8 goals scored and 1 goal conceded better than 1998 because it s the same goal difference 7 but then it was 7 0 now it was 8 1,positive,0.7096,"['argentina wins', 'stage argentina', 'argentina']","[('argentina', 'GPE')]",53
@arrigowu,2026-06-29T11:07:25Z,0,Most people here watching for Messi,M6mpXtMm93M,most people here watching for messi,neutral,0.0,"['watching messi', 'messi', 'people watching']","[('messi', 'PERSON')]",3
@AjeetKumar-nf2wz,2026-06-29T11:04:35Z,0,Claps for Jordan goalkeeper 😂😂😂,M6mpXtMm93M,claps for jordan goalkeeper,neutral,0.0,"['claps jordan', 'jordan goalkeeper', 'claps']","[('jordan', 'GPE')]",57
@inlinestudio2643,2026-06-29T11:04:05Z,7,"Jordan is the only side that score against Argentina at group stage, what a fact",M6mpXtMm93M,jordan is the only side that score against argentina at group stage what a fact,neutral,0.0,"['score argentina', 'jordan score', 'argentina group']","[('jordan', 'GPE'), ('argentina', 'GPE')]",-1
@MRShubhamTirkey,2026-06-29T11:03:51Z,0,❤❤,M6mpXtMm93M,,neutral,0.0,[],[],0
@user-ue7ep4wh2g,2026-06-29T10:58:57Z,0,Sjdiidieiekekekeikeoeoeoekelekososkskskekslslslelsllslsls😅😅😅😅,M6mpXtMm93M,sjdiidieiekekekeikeoeoeoekelekososkskskekslslslelsllslsls,neutral,0.0,['sjdiidieiekekekeikeoeoeoekelekososkskskekslslslelsllslsls'],[],-1
@AornaDash,2026-06-29T10:37:31Z,2,"I am a Messi fan, and I have seen Messi's incredible free-kick goals before, but this one just looks scripted. The goalkeeper didn’t even try. Messi is a great footballer, and I hope he understands that doing these acts does nothing but tarnish his legacy.",M6mpXtMm93M,i am a messi fan and i have seen messi s incredible free kick goals before but this one just looks scripted the goalkeeper didn t even try messi is a great footballer and i hope he understands that doing these acts does nothing but tarnish his legacy,positive,0.9253,"['seen messi', 'messi great', 'messi']","[('messi', 'PERSON')]",65
@PPPAYDT,2026-06-29T10:36:45Z,0,Tim mesi ini lawannya kenapa ringan-ringan? Nggak seperti Portugal lawannya berat-berat!,M6mpXtMm93M,tim mesi ini lawannya kenapa ringan ringan nggak seperti portugal lawannya berat berat,neutral,0.0,"['portugal lawannya', 'lawannya kenapa', 'ini lawannya']","[('tim mesi ini lawannya kenapa ringan ringan', 'PERSON'), ('portugal', 'GPE')]",11
@2focus342,2026-06-29T10:33:11Z,0,Goal number 6 for the GOAT😊😊,M6mpXtMm93M,goal number 6 for the goat,positive,0.0772,"['number goat', 'goal number', 'goat']",[],-1
@tulyajitsaikia7515,2026-06-29T10:31:43Z,2,Beast Mode On.🤷🤷🤷,M6mpXtMm93M,beast mode on,neutral,0.0,"['beast mode', 'beast', 'mode']",[],-1
@emiltsonev4914,2026-06-29T10:31:22Z,0,"penalty for Argentina again , I bet every game a penalty for Argentina",M6mpXtMm93M,penalty for argentina again i bet every game a penalty for argentina,negative,-0.7184,"['penalty argentina', 'argentina bet', 'penalty']","[('argentina', 'GPE'), ('argentina', 'GPE')]",93
@santoshkenguva,2026-06-29T10:30:06Z,2,"Messi enjoying playing, and it's dangerous for opponent",M6mpXtMm93M,messi enjoying playing and it s dangerous for opponent,positive,0.2732,"['messi enjoying', 'messi', 'dangerous opponent']","[('messi', 'PERSON')]",3
@marufulalam6072,2026-06-29T10:27:03Z,0,Argentina always helps FIFA.. without these they are nothing,M6mpXtMm93M,argentina always helps fifa without these they are nothing,positive,0.3818,"['argentina helps', 'helps fifa', 'argentina']","[('argentina', 'GPE')]",53
@ArcadasGirafas,2026-06-29T10:24:13Z,1,🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷💚💚💚💚💚💚🙌🙌🙌🙌🙌🙌🙌,M6mpXtMm93M,,neutral,0.0,[],[],0
@rauly93,2026-06-29T10:23:03Z,0,That keeper did everything they could to move away from the ball LOL!,M6mpXtMm93M,that keeper did everything they could to move away from the ball laughing out loud,positive,0.4939,"['ball laughing', 'keeper did', 'keeper']",[],32
@nomadictrader6021,2026-06-29T10:22:26Z,0,Why they are not displaying time ?,M6mpXtMm93M,why they are not displaying time,neutral,0.0,"['displaying time', 'time', 'displaying']",[],84
@Sunny92-সানি,2026-06-29T10:18:53Z,0,❤️,M6mpXtMm93M,,neutral,0.0,[],[],0
@iwaniwansyah6576,2026-06-29T10:08:59Z,1,Goat,M6mpXtMm93M,goat,neutral,0.0,[],[],21
@JoyiessS,2026-06-29T10:06:37Z,0,GOAT 🤩,M6mpXtMm93M,goat,neutral,0.0,[],[],21
@MohamadAbushaerah,2026-06-29T10:04:49Z,1,حضور جلالة الملك عبدالله شرف بطولة كأس العالم 26..🎉🎉❤.,M6mpXtMm93M,حضور جلالة الملك عبدالله شرف بطولة كأس العالم 26,neutral,0.0,"['عبدالله شرف', 'شرف بطولة', 'كأس العالم']","[('شرف', 'PERSON')]",9
@BSKaming,2026-06-29T09:59:36Z,0,Messi messi messiiiii🐐,M6mpXtMm93M,messi messi messiiiii,neutral,0.0,"['messi messiiiii', 'messi messi', 'messi']","[('messi messi', 'PERSON')]",3
@sephiff,2026-06-29T09:58:24Z,3,Jordanian goalkeeper just arrived to the stadium,M6mpXtMm93M,jordanian goalkeeper just arrived to the stadium,neutral,0.0,"['jordanian goalkeeper', 'arrived stadium', 'goalkeeper just']",[],57
@SwafwanPvr,2026-06-29T09:56:51Z,1,Messi from India 🇮🇳🇮🇳,M6mpXtMm93M,messi from india,neutral,0.0,"['messi india', 'messi', 'india']","[('messi', 'PERSON'), ('india', 'GPE')]",3
@Вороновей227,2026-06-29T09:54:16Z,0,argentina solo,M6mpXtMm93M,argentina solo,neutral,0.0,"['argentina solo', 'argentina', 'solo']","[('argentina', 'GPE')]",53
@NehtiyalyrN,2026-06-29T09:54:13Z,0,"Neymar with 34yo - comes from to bench to walk the in the field the whole time left in the match
Messi with 39yo - comes from the bench after scoring 5 goals in the previous matches and still scores one more to extend his record",M6mpXtMm93M,neymar with 34yo comes from to bench to walk the in the field the whole time left in the match messi with 39yo comes from the bench after scoring 5 goals in the previous matches and still scores one more to extend his record,positive,0.2449,"['messi 39yo', 'neymar 34yo', 'messi']","[('neymar', 'PERSON')]",3
@ChelseaCFC77,2026-06-29T09:52:19Z,1,39 year old meesi competing with prime Haaland Mbappe and Dembele,M6mpXtMm93M,39 year old meesi competing with prime haaland mbappe and dembele,neutral,0.0,"['mbappe dembele', 'meesi competing', 'haaland mbappe']",[],15
@ChelseaCFC77,2026-06-29T09:51:55Z,2,Messi literally doing this just for the love of the game,M6mpXtMm93M,messi literally doing this just for the love of the game,positive,0.6369,"['messi literally', 'messi', 'literally doing']","[('messi', 'PERSON')]",3
@FufuFava-r8q,2026-06-29T09:47:10Z,0,"Messing, best to club
ONLY ""CR 7"" BEST WORD",M6mpXtMm93M,messing best to club only Can't remember 7 best word,positive,0.21,"['best word', 'club remember', 'messing best']",[],139
@ShanksGaming00,2026-06-29T09:46:35Z,0,What a player ❤️,M6mpXtMm93M,what a player,neutral,0.0,['player'],[],109
@DhruvArtsWithFun2012,2026-06-29T09:45:21Z,0,The goat,M6mpXtMm93M,the goat,neutral,0.0,[],[],21
@AnuragKumar-bs8si,2026-06-29T09:35:21Z,2,The best to ever grace this game🤌❤️,M6mpXtMm93M,the best to ever grace this game,positive,0.7906,"['grace game', 'best grace', 'grace']",[],46
@Джемлиеаюв,2026-06-29T09:32:52Z,0,Вратарь специально будто не прыгал в голах со штрафных,M6mpXtMm93M,вратарь специально будто не прыгал в голах со штрафных,neutral,0.0,"['со штрафных', 'специально будто', 'вратарь специально']",[],2
@BMskills_carpenters,2026-06-29T09:31:37Z,0,This guy is genius,M6mpXtMm93M,this guy is genius,neutral,0.0,"['guy genius', 'genius', 'guy']",[],36
@To_ReDa__1993,2026-06-29T09:23:17Z,0,"The fans are shouting loudly in all languages of the world, 'Messi, the history of footbal 🤴⚽️⚽️⚽️⚽️⚽️⚽️🏆🏆🏆🏆🇦🇷✌",M6mpXtMm93M,the fans are shouting loudly in all languages of the world messi the history of footbal,neutral,0.0,"['fans shouting', 'messi history', 'world messi']",[],-1
@ajatshatruganwir4951,2026-06-29T09:21:43Z,0,Mess is all time goat 🐐,M6mpXtMm93M,mess is all time goat,negative,-0.3612,"['mess time', 'mess', 'time goat']",[],52
@dentistrajesh,2026-06-29T09:21:10Z,2,3rd goal should have been saved.,M6mpXtMm93M,3rd goal should have been saved,positive,0.4215,"['goal saved', '3rd goal', 'goal']",[],-1
@Quickvirus,2026-06-29T09:19:24Z,0,Nice spolier in the title!,M6mpXtMm93M,nice spolier in the title,positive,0.4215,"['spolier title', 'nice spolier', 'spolier']",[],-1
@GirijB-k4y,2026-06-29T09:17:04Z,0,Commentators are on extra duty I guess,M6mpXtMm93M,commentators are on extra duty i guess,neutral,0.0,"['commentators extra', 'commentators', 'extra duty']",[],29
@a_to_z_suraj_bhakti,2026-06-29T09:14:55Z,0,Messi fan like second hat trick🎉❤🎉,M6mpXtMm93M,messi fan like second hat trick,positive,0.5574,"['messi fan', 'hat trick', 'messi']","[('messi', 'PERSON')]",15
@ShanksGaming00,2026-06-29T09:06:22Z,18,Goalkeeper saw messi and decided to let the ball pass.,M6mpXtMm93M,goalkeeper saw messi and decided to let the ball pass,neutral,0.0,"['messi decided', 'saw messi', 'goalkeeper saw']","[('messi', 'PERSON')]",65
@ChrisRD526,2026-06-29T09:04:33Z,0,Messi 🐐🇦🇷🔥,M6mpXtMm93M,messi,neutral,0.0,[],"[('messi', 'PERSON')]",3
@QuickWit147,2026-06-29T09:03:32Z,0,🤍🤍,M6mpXtMm93M,,neutral,0.0,[],[],0
@__LALISA__WORLDWIDENUMBERONE,2026-06-29T09:02:05Z,0,Messi never dissapoints us,M6mpXtMm93M,messi never dissapoints us,neutral,0.0,"['messi dissapoints', 'messi', 'dissapoints']","[('messi', 'PERSON')]",3
@سماوار,2026-06-29T08:54:25Z,8,1:45 disgraceful goalkeeping. The goalkeeper must be investigated.,M6mpXtMm93M,1 45 disgraceful goalkeeping the goalkeeper must be investigated,neutral,0.0,"['goalkeeper investigated', 'disgraceful goalkeeping', 'goalkeeping goalkeeper']",[],32
@iamkumarmihir,2026-06-29T08:45:21Z,5,Messi The King Of Kings 👑,M6mpXtMm93M,messi the king of kings,neutral,0.0,"['messi king', 'messi', 'king']","[('messi', 'PERSON')]",3
@arpanmalhi8342,2026-06-29T08:42:51Z,1,Ronaldo is fraud messi is the true goat 🐐,M6mpXtMm93M,ronaldo is fraud messi is the true goat,negative,-0.25,"['fraud messi', 'ronaldo fraud', 'messi true']","[('ronaldo', 'ORG'), ('messi', 'PERSON')]",52
@khbasanta4927,2026-06-29T08:34:40Z,0,Messi Is The Donkey,M6mpXtMm93M,messi is the donkey,neutral,0.0,"['messi donkey', 'messi', 'donkey']","[('messi', 'PERSON')]",-1
@abl1699,2026-06-29T08:31:19Z,0,Penalty unjustified.   Ball was low when headed.,M6mpXtMm93M,penalty unjustified ball was low when headed,negative,-0.6249,"['penalty unjustified', 'unjustified ball', 'penalty']",[],93
@nrkhan51,2026-06-29T08:25:40Z,0,What is keeper doing it’s like a joke,M6mpXtMm93M,what is keeper doing it s like a joke,positive,0.5719,"['keeper doing', 'keeper', 'like joke']",[],32
@ANDROID-jx1sq,2026-06-29T08:20:49Z,0,чисто диз за 2:10,M6mpXtMm93M,чисто диз за 2 10,neutral,0.0,"['чисто диз', 'за 10', 'диз за']","[('чисто диз', 'PERSON')]",2
@ausifmaqbool6944,2026-06-29T08:20:00Z,0,Don't compare messi with ronaldo..... LoL 🤣🤣🤣,M6mpXtMm93M,denial of normal t compare messi with ronaldo laughing out loud,positive,0.4939,"['ronaldo laughing', 'compare messi', 'messi']",[],37
@a_bdK10,2026-06-29T08:19:38Z,0,Leo & co. 🔥🏆,M6mpXtMm93M,leo co,neutral,0.0,[],"[('leo', 'PERSON')]",-1
@aminerkt639,2026-06-29T08:17:07Z,0,ميسي الماعز,M6mpXtMm93M,ميسي الماعز,neutral,0.0,"['ميسي الماعز', 'الماعز', 'ميسي']",[],9
@lt.chhakchhuak9458,2026-06-29T08:12:05Z,1,Messi is the real G.O.A.T. No one is close to him.,M6mpXtMm93M,messi is the real g Oh a t no one is close to him,negative,-0.296,"['messi real', 'messi', 'real']","[('messi', 'PERSON')]",3
@fabulousvab,2026-06-29T08:11:26Z,13,feels like he let messi score and didnt move at all,M6mpXtMm93M,feels like he let messi score and didnt move at all,positive,0.3612,"['messi score', 'let messi', 'messi']","[('messi', 'PERSON')]",138
@JosuaPiagno,2026-06-29T07:58:46Z,0,MESSI = ISRAEL,M6mpXtMm93M,messi israel,neutral,0.0,"['messi israel', 'israel', 'messi']","[('messi israel', 'PERSON')]",3
@satishbankar5930,2026-06-29T07:58:26Z,0,is Jordans keepar sold..not even trying..,M6mpXtMm93M,is jordans keepar sold not even trying,neutral,0.0,"['jordans keepar', 'keepar sold', 'jordans']",[],57
@olyva_Harvey,2026-06-29T07:48:06Z,1,"Is there any other footballer like this guy pls.. 
I am delighted to have known this guy since he was 15.. and all I still say year after year is wow.. wow..and wow",M6mpXtMm93M,is there any other footballer like this guy please i am delighted to have known this guy since he was 15 and all i still say year after year is wow wow and wow,positive,0.9612,"['footballer like', 'footballer', 'year wow']",[],-1
@olyva_Harvey,2026-06-29T07:48:00Z,27,"Its the way Messi talks to himself quietly convincing himself and comes on the field to do exactly just that..no error..no delay, 
Exactly the way he planned n scripted it..",M6mpXtMm93M,its the way messi talks to himself quietly convincing himself and comes on the field to do exactly just that no error no delay exactly the way he planned and scripted it,positive,0.7788,"['messi talks', 'messi', 'way messi']",[],65
@NeoFootball-X,2026-06-29T07:47:00Z,1,The fact that he came off the bench and still broke the all-time World Cup scoring record is unreal. I ended up turning his entire journey—from Rosario to 19 World Cup goals—into an anime-style story. Seeing it all together gives you goosebumps. 🐐🔥,M6mpXtMm93M,the fact that he came off the bench and still broke the all time world cup scoring record is unreal i ended up turning his entire journey from rosario to 19 world cup goals into an anime style story seeing it all together gives you goosebumps,negative,-0.4215,"['rosario', 'rosario 19', 'journey rosario']",[],-1
@diinosmanapdiwarsame2036,2026-06-29T07:43:32Z,0,Wooow Karti Tyla i Like,M6mpXtMm93M,wooow karti tyla i like,positive,0.3612,"['karti tyla', 'wooow karti', 'tyla like']","[('wooow karti', 'PERSON')]",11
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:41:35Z,0,NO debate Lionel messi greatest of all time ever,M6mpXtMm93M,no debate lionel messi greatest of all time ever,positive,0.4588,"['messi greatest', 'lionel messi', 'messi']",[],-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:41:16Z,0,Debate is over Lionel messi forever goat one and only,M6mpXtMm93M,debate is over lionel messi forever goat one and only,neutral,0.0,"['messi forever', 'debate lionel', 'lionel messi']",[],52
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:40:50Z,0,Messi messi messi chants forever,M6mpXtMm93M,messi messi messi chants forever,neutral,0.0,"['messi chants', 'chants forever', 'messi']","[('messi messi messi', 'PERSON')]",-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:40:34Z,1,Messi the Goat acknowledge the entire universe messi messi,M6mpXtMm93M,messi the goat acknowledge the entire universe messi messi,neutral,0.0,"['universe messi', 'messi goat', 'messi']","[('messi', 'PERSON'), ('messi messi', 'PERSON')]",58
@NurHayati-ym3wl,2026-06-29T07:40:28Z,0,"Encara messi
Encara Maradona",M6mpXtMm93M,encara messi encara maradona,neutral,0.0,"['encara maradona', 'encara messi', 'messi encara']","[('encara messi', 'PERSON')]",-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:37:45Z,0,Messi messi messi chants entire universe ❤,M6mpXtMm93M,messi messi messi chants entire universe,neutral,0.0,"['messi chants', 'chants entire', 'messi']","[('messi messi messi', 'PERSON')]",-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:37:22Z,0,Messi chants whole world 🌍,M6mpXtMm93M,messi chants whole world,neutral,0.0,"['messi chants', 'chants world', 'chants']","[('messi', 'PERSON')]",-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:37:04Z,0,World 🌍 biggest athelete Lionel messi,M6mpXtMm93M,world biggest athelete lionel messi,neutral,0.0,"['lionel messi', 'messi', 'world biggest']",[],3
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:36:32Z,0,Entire universe acknowledge the one and only real goat always forever Lionel messi,M6mpXtMm93M,entire universe acknowledge the one and only real goat always forever lionel messi,neutral,0.0,"['lionel messi', 'messi', 'goat forever']","[('messi', 'PERSON')]",58
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:36:27Z,1,Entire universe acknowledge the one and only real goat always forever Lionel messi,M6mpXtMm93M,entire universe acknowledge the one and only real goat always forever lionel messi,neutral,0.0,"['lionel messi', 'messi', 'goat forever']","[('messi', 'PERSON')]",58
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:36:11Z,1,Entire universe acknowledge the one and only goat Lionel messi,M6mpXtMm93M,entire universe acknowledge the one and only goat lionel messi,neutral,0.0,"['lionel messi', 'messi', 'goat lionel']","[('messi', 'PERSON')]",58
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:53Z,0,Alien 👾👽 messi,M6mpXtMm93M,alien messi,neutral,0.0,"['alien messi', 'messi', 'alien']","[('alien messi', 'PERSON')]",3
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:44Z,0,Messi moment,M6mpXtMm93M,messi moment,neutral,0.0,"['messi moment', 'messi', 'moment']","[('messi', 'PERSON')]",3
@lasxd59002,2026-06-29T07:35:42Z,2,1:42 The goalkeeper made a serious error in setting up the free-kick wall and misjudged the situation!,M6mpXtMm93M,1 42 the goalkeeper made a serious error in setting up the free kick wall and misjudged the situation,positive,0.0772,"['42 goalkeeper', 'goalkeeper error', 'free kick']",[],-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:35Z,0,Messi magic,M6mpXtMm93M,messi magic,neutral,0.0,"['messi magic', 'messi', 'magic']","[('messi magic', 'PERSON')]",3
@sandunirasangika6930,2026-06-29T07:35:31Z,0,😂,M6mpXtMm93M,,neutral,0.0,[],[],0
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:27Z,0,Magician messi,M6mpXtMm93M,magician messi,neutral,0.0,"['magician messi', 'messi', 'magician']","[('magician messi', 'PERSON')]",3
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:21Z,0,Magnetic 🧲 messi,M6mpXtMm93M,magnetic messi,neutral,0.0,"['magnetic messi', 'messi', 'magnetic']","[('messi', 'PERSON')]",3
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:14Z,0,Boss of football Lionel messi,M6mpXtMm93M,boss of football lionel messi,neutral,0.0,"['lionel messi', 'messi', 'football lionel']","[('messi', 'PERSON')]",3
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:35:05Z,0,King of football ⚽ Lionel messi,M6mpXtMm93M,king of football lionel messi,neutral,0.0,"['lionel messi', 'messi', 'football lionel']","[('messi', 'PERSON')]",-1
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:34:34Z,0,one and only goat Lionel messi forever,M6mpXtMm93M,one and only goat lionel messi forever,neutral,0.0,"['lionel messi', 'messi forever', 'goat lionel']","[('messi', 'PERSON')]",58
@BishnupriyagoudaBishnupriyagou,2026-06-29T07:34:21Z,0,Messi the Goat then now forever,M6mpXtMm93M,messi the goat then now forever,neutral,0.0,"['messi goat', 'messi', 'goat forever']","[('messi', 'PERSON')]",58
@ShahulStudio2,2026-06-29T07:31:59Z,0,Messi what a Free kick Goal 🥅 🎉He is 6 Goals in this world Cup Total 19 Goals,M6mpXtMm93M,messi what a free kick goal he is 6 goals in this world cup total 19 goals,positive,0.5106,"['messi free', '19 goals', 'messi']","[('messi', 'PERSON')]",-1
@viralclipsid-j6e,2026-06-29T07:31:12Z,0,PENALOD NANGIS DARAHHHH,M6mpXtMm93M,penalod nangis darahhhh,neutral,0.0,"['penalod nangis', 'nangis darahhhh', 'penalod']",[],41
@KaushikKundu-n8x,2026-06-29T07:27:33Z,0,Feels like scripted after seeing gk in freekick. 😅,M6mpXtMm93M,feels like scripted after seeing gk in freekick,positive,0.3612,"['gk freekick', 'freekick', 'seeing gk']",[],-1
@abdulqaderkhoso7751,2026-06-29T07:26:28Z,1,This performance is outstanding I will come back to watch it again.,M6mpXtMm93M,this performance is outstanding i will come back to watch it again,positive,0.6124,"['performance outstanding', 'performance', 'outstanding']",[],128
